conta,pipeline,ddd,uf,fechamentos,pct,valor_total
amarela,FUNIL TESTE,11,SP,2,66.7%,0
amarela,FUNIL TESTE,?,,1,33.3%,0
amarela,Funil de Vendas - Vectora,?,,4,100.0%,548
amarela,Funil de vendas,11,SP,1010,13.8%,24393
amarela,Funil de vendas,21,RJ,569,7.8%,14699
amarela,Funil de vendas,19,SP,265,3.6%,548
amarela,Funil de vendas,51,RS,258,3.5%,3247
amarela,Funil de vendas,31,MG,243,3.3%,3144
amarela,Funil de vendas,41,PR,214,2.9%,8244
amarela,Funil de vendas,61,DF,197,2.7%,0
amarela,Funil de vendas,47,SC,189,2.6%,6644
amarela,Funil de vendas,27,ES,185,2.5%,2096
amarela,Funil de vendas,55,RS,185,2.5%,1000
amarela,Funil de vendas,?,,172,2.4%,10881
amarela,Funil de vendas,62,GO,149,2.0%,3646
amarela,Funil de vendas,48,SC,143,2.0%,1548
amarela,Funil de vendas,67,MS,143,2.0%,2106
amarela,Funil de vendas,12,SP,139,1.9%,1644
azul,FUNIL ANTIGO,11,SP,3,17.6%,1098
azul,FUNIL ANTIGO,67,MS,3,17.6%,2728
azul,FUNIL ANTIGO,43,PR,2,11.8%,0
azul,FUNIL ANTIGO,61,DF,2,11.8%,0
azul,FUNIL ANTIGO,14,SP,1,5.9%,0
azul,FUNIL ANTIGO,21,RJ,1,5.9%,548
azul,FUNIL ANTIGO,31,MG,1,5.9%,0
azul,FUNIL ANTIGO,44,PR,1,5.9%,1098
azul,FUNIL ANTIGO,66,MT,1,5.9%,0
azul,FUNIL ANTIGO,77,BA,1,5.9%,0
azul,FUNIL ANTIGO,91,PA,1,5.9%,0
azul,FUNIL AXION,11,SP,8,11.9%,9382
azul,FUNIL AXION,55,RS,5,7.5%,0
azul,FUNIL AXION,27,ES,4,6.0%,0
azul,FUNIL AXION,54,RS,4,6.0%,0
azul,FUNIL AXION,69,RO,4,6.0%,2186
azul,FUNIL AXION,81,PE,4,6.0%,0
azul,FUNIL AXION,92,AM,4,6.0%,1638
azul,FUNIL AXION,?,,3,4.5%,0
azul,FUNIL AXION,19,SP,2,3.0%,548
azul,FUNIL AXION,24,RJ,2,3.0%,0
azul,FUNIL AXION,49,SC,2,3.0%,3276
azul,FUNIL AXION,51,RS,2,3.0%,0
azul,FUNIL AXION,66,MT,2,3.0%,3828
azul,FUNIL AXION,67,MS,2,3.0%,548
azul,FUNIL AXION,73,BA,2,3.0%,1098
azul,FUNIL CRYPTOSENSE,?,,2,50.0%,0
azul,FUNIL CRYPTOSENSE,38,MG,1,25.0%,0
azul,FUNIL CRYPTOSENSE,63,TO,1,25.0%,0
azul,FUNIL DELTA,11,SP,3,12.5%,1098
azul,FUNIL DELTA,31,MG,2,8.3%,548
azul,FUNIL DELTA,51,RS,2,8.3%,0
azul,FUNIL DELTA,55,RS,2,8.3%,0
azul,FUNIL DELTA,15,SP,1,4.2%,0
azul,FUNIL DELTA,18,SP,1,4.2%,548
azul,FUNIL DELTA,21,RJ,1,4.2%,0
azul,FUNIL DELTA,22,RJ,1,4.2%,2728
azul,FUNIL DELTA,24,RJ,1,4.2%,548
azul,FUNIL DELTA,27,ES,1,4.2%,0
azul,FUNIL DELTA,32,MG,1,4.2%,0
azul,FUNIL DELTA,34,MG,1,4.2%,0
azul,FUNIL DELTA,48,SC,1,4.2%,0
azul,FUNIL DELTA,61,DF,1,4.2%,0
azul,FUNIL DELTA,65,MT,1,4.2%,0
azul,FUNIL NEW MATRIZ,11,SP,807,14.1%,50025
azul,FUNIL NEW MATRIZ,21,RJ,461,8.1%,21383
azul,FUNIL NEW MATRIZ,19,SP,235,4.1%,8610
azul,FUNIL NEW MATRIZ,51,RS,204,3.6%,7674
azul,FUNIL NEW MATRIZ,31,MG,199,3.5%,1112892
azul,FUNIL NEW MATRIZ,47,SC,178,3.1%,2754
azul,FUNIL NEW MATRIZ,41,PR,177,3.1%,7442
azul,FUNIL NEW MATRIZ,55,RS,161,2.8%,2246
azul,FUNIL NEW MATRIZ,16,SP,150,2.6%,6212
azul,FUNIL NEW MATRIZ,62,GO,150,2.6%,8214
azul,FUNIL NEW MATRIZ,61,DF,140,2.4%,2744
azul,FUNIL NEW MATRIZ,27,ES,139,2.4%,6292
azul,FUNIL NEW MATRIZ,67,MS,118,2.1%,5470
azul,FUNIL NEW MATRIZ,12,SP,106,1.9%,9282
azul,FUNIL NEW MATRIZ,54,RS,103,1.8%,2744
azul,FUNIL PLUS,?,,3,60.0%,0
azul,FUNIL PLUS,14,SP,1,20.0%,0
azul,FUNIL PLUS,15,SP,1,20.0%,0
azul,FUNIL TRYVION,55,RS,45,25.4%,548
azul,FUNIL TRYVION,11,SP,16,9.0%,8302
azul,FUNIL TRYVION,21,RJ,10,5.6%,1098
azul,FUNIL TRYVION,31,MG,9,5.1%,548
azul,FUNIL TRYVION,19,SP,7,4.0%,1644
azul,FUNIL TRYVION,37,MG,7,4.0%,0
azul,FUNIL TRYVION,47,SC,5,2.8%,548
azul,FUNIL TRYVION,49,SC,4,2.3%,548
azul,FUNIL TRYVION,62,GO,4,2.3%,548
azul,FUNIL TRYVION,65,MT,4,2.3%,548
azul,FUNIL TRYVION,71,BA,4,2.3%,0
azul,FUNIL TRYVION,13,SP,3,1.7%,0
azul,FUNIL TRYVION,14,SP,3,1.7%,0
azul,FUNIL TRYVION,35,MG,3,1.7%,3276
azul,FUNIL TRYVION,38,MG,3,1.7%,1098
