conta,pipeline,ddd,uf,leads,pct
azul,FUNIL NEW MATRIZ,11,SP,892,16.3%
azul,FUNIL NEW MATRIZ,21,RJ,490,9.0%
azul,FUNIL NEW MATRIZ,19,SP,254,4.7%
azul,FUNIL NEW MATRIZ,51,RS,205,3.8%
azul,FUNIL NEW MATRIZ,31,MG,194,3.6%
azul,FUNIL NEW MATRIZ,47,SC,162,3.0%
azul,FUNIL NEW MATRIZ,27,ES,158,2.9%
azul,FUNIL NEW MATRIZ,61,DF,158,2.9%
azul,FUNIL NEW MATRIZ,16,SP,155,2.8%
azul,FUNIL NEW MATRIZ,41,PR,154,2.8%
azul,FUNIL NEW MATRIZ,55,RS,142,2.6%
azul,FUNIL NEW MATRIZ,67,MS,142,2.6%
azul,FUNIL NEW MATRIZ,62,GO,132,2.4%
azul,FUNIL NEW MATRIZ,12,SP,120,2.2%
azul,FUNIL NEW MATRIZ,85,CE,112,2.1%
azul,FUNIL TRYVION,11,SP,120,12.9%
azul,FUNIL TRYVION,55,RS,89,9.6%
azul,FUNIL TRYVION,21,RJ,59,6.4%
azul,FUNIL TRYVION,31,MG,50,5.4%
azul,FUNIL TRYVION,47,SC,35,3.8%
azul,FUNIL TRYVION,51,RS,35,3.8%
azul,FUNIL TRYVION,41,PR,34,3.7%
azul,FUNIL TRYVION,61,DF,32,3.4%
azul,FUNIL TRYVION,19,SP,31,3.3%
azul,FUNIL TRYVION,62,GO,28,3.0%
azul,FUNIL AXION,11,SP,70,11.3%
azul,FUNIL AXION,21,RJ,33,5.3%
azul,FUNIL AXION,92,AM,28,4.5%
azul,FUNIL AXION,19,SP,27,4.3%
azul,FUNIL AXION,51,RS,26,4.2%
azul,FUNIL AXION,47,SC,23,3.7%
azul,FUNIL AXION,31,MG,18,2.9%
azul,FUNIL AXION,91,PA,18,2.9%
azul,FUNIL AXION,27,ES,17,2.7%
azul,FUNIL AXION,62,GO,17,2.7%
azul,FUNIL DELTA,11,SP,30,14.4%
azul,FUNIL DELTA,21,RJ,21,10.0%
azul,FUNIL DELTA,31,MG,11,5.3%
azul,FUNIL DELTA,85,CE,11,5.3%
azul,FUNIL DELTA,19,SP,10,4.8%
azul,FUNIL DELTA,82,AL,8,3.8%
azul,FUNIL RECUPERAÇÃO,11,SP,6,12.2%
azul,FUNIL RECUPERAÇÃO,47,SC,4,8.2%
azul,FUNIL RECUPERAÇÃO,61,DF,3,6.1%
azul,FUNIL RECUPERAÇÃO,66,MT,3,6.1%
azul,FUNIL ANTIGO,11,SP,2,22.2%
azul,FUNIL ANTIGO,61,DF,2,22.2%
azul,FUNIL CRYPTOSENSE,38,MG,1,25.0%
azul,FUNIL CRYPTOSENSE,63,TO,1,25.0%
azul,FUNIL PLUS,14,SP,1,20.0%
azul,FUNIL PLUS,15,SP,1,20.0%
azul,TESTE PRISMA [IA],61,DF,2,22.2%
amarela,Funil de vendas,11,SP,793,12.7%
amarela,Funil de vendas,21,RJ,470,7.5%
amarela,Funil de vendas,19,SP,230,3.7%
amarela,Funil de vendas,51,RS,217,3.5%
amarela,Funil de vendas,31,MG,198,3.2%
amarela,Funil de vendas,41,PR,168,2.7%
amarela,Funil de vendas,55,RS,167,2.7%
amarela,Funil de vendas,61,DF,157,2.5%
amarela,Funil de vendas,27,ES,148,2.4%
amarela,Funil de vendas,47,SC,148,2.4%
amarela,Funil de vendas,62,GO,126,2.0%
amarela,Funil de vendas,67,MS,121,1.9%
amarela,Funil de vendas,71,BA,118,1.9%
amarela,Funil de vendas,16,SP,115,1.8%
